col,row
37,7
37,6
37,5
37,4
37,39
37,38
37,37
37,36
37,35
37,34
37,3
37,28
37,27
37,26
37,25
37,24
37,2
37,18
37,17
37,16
37,15
37,14
37,13
37,12
37,11
37,10
36,9
36,8
36,7
36,6
36,5
36,4
36,39
36,38
36,37
36,36
36,35
36,34
36,3
36,28
36,27
36,26
36,25
36,24
36,2
36,18
36,17
36,16
36,15
36,14
36,13
36,12
36,11
36,10
35,9
35,8
35,7
35,6
35,5
35,4
35,39
35,38
35,37
35,36
35,35
35,34
35,3
35,28
35,27
35,26
35,25
35,24
35,18
35,17
35,16
35,15
35,14
35,13
35,12
35,11
35,10
34,9
34,8
34,7
34,6
34,5
34,4
34,39
34,38
34,37
34,36
34,35
34,34
34,3
34,28
34,27
34,26
34,25
34,24
34,18
34,17
34,16
34,15
34,14
34,13
34,12
34,11
34,10
30,9
30,8
30,7
30,6
30,5
30,4
30,39
30,38
30,37
30,36
30,35
30,34
30,28
30,27
30,26
30,25
30,24
30,18
30,17
30,16
30,15
30,14
30,13
30,12
30,11
30,10
3,38
3,37
3,36
3,35
3,34
3,28
3,27
3,26
3,25
3,24
3,23
3,18
3,17
3,16
3,15
3,14
3,13
3,12
3,11
3,10
29,9
29,8
29,7
29,6
29,5
29,4
29,39
29,38
29,37
29,36
29,35
29,34
29,28
29,27
29,26
29,25
29,24
29,18
29,17
29,16
29,15
29,14
29,13
29,12
29,11
29,10
28,9
28,8
28,7
28,6
28,5
28,4
28,39
28,38
28,37
28,36
28,35
28,34
28,28
28,27
28,26
28,25
28,24
28,18
28,17
28,16
28,15
28,14
28,13
28,12
28,11
28,10
27,9
27,8
27,7
27,6
27,5
27,4
27,39
27,38
27,37
27,36
27,35
27,34
27,28
27,27
27,26
27,25
27,24
27,18
27,17
27,16
27,15
27,14
27,13
27,12
27,11
27,10
26,9
26,8
26,7
26,6
26,5
26,4
26,39
26,38
26,37
26,36
26,35
26,34
26,28
26,27
26,26
26,25
26,24
26,18
26,17
26,16
26,15
26,14
26,13
26,12
26,11
26,10
25,9
25,8
25,7
25,6
25,5
25,4
25,39
25,38
25,37
25,36
25,35
25,34
25,28
25,27
25,26
25,25
25,24
25,18
25,17
25,16
25,15
25,14
25,13
25,12
25,11
25,10
24,9
24,8
24,7
24,6
24,5
24,4
24,39
24,38
24,37
24,36
24,35
24,34
24,28
24,27
24,26
24,25
24,24
24,18
24,17
24,16
24,15
24,14
24,13
24,12
24,11
24,10
23,9
23,8
23,7
23,6
23,5
23,4
23,39
23,38
23,37
23,36
23,35
23,34
23,28
23,27
23,26
23,25
23,24
23,18
23,17
23,16
23,15
23,14
23,13
23,12
23,11
23,10
22,9
22,8
22,7
22,6
22,5
22,4
22,39
22,38
22,37
22,36
22,35
22,34
22,28
22,27
22,26
22,25
22,24
22,18
22,17
22,16
22,15
22,14
22,13
22,12
22,11
22,10
21,9
21,8
21,7
21,6
21,5
21,4
21,39
21,38
21,37
21,36
21,35
21,34
21,28
21,27
21,26
21,25
21,24
21,18
21,17
21,16
21,15
21,14
21,13
21,12
21,11
21,10
20,9
20,8
20,7
20,6
20,5
20,4
20,39
20,38
20,37
20,36
20,35
20,34
20,28
20,27
20,26
20,25
20,24
20,18
20,17
20,16
20,15
20,14
20,13
20,12
20,11
20,10
2,38
2,37
2,36
2,35
2,34
2,28
2,27
2,26
2,25
2,24
2,23
2,18
2,17
2,16
2,15
2,14
19,9
19,8
19,7
19,6
19,5
19,4
19,39
19,38
19,37
19,36
19,35
19,34
19,28
19,27
19,26
19,25
19,24
19,18
19,17
19,16
19,15
19,14
19,13
19,12
19,11
19,10
18,9
18,8
18,7
18,6
18,5
18,4
18,39
18,38
18,37
18,36
18,35
18,34
18,28
18,27
18,26
18,25
18,24
18,18
18,17
18,16
18,15
18,14
18,13
18,12
18,11
18,10
17,9
17,8
17,7
17,6
17,5
17,4
17,39
17,38
17,37
17,36
17,35
17,34
17,28
17,27
17,26
17,25
17,24
17,18
17,17
17,16
17,15
17,14
17,13
17,12
17,11
17,10
13,9
13,8
13,7
13,6
13,5
13,4
13,39
13,38
13,37
13,36
13,35
13,34
13,3
13,28
13,27
13,26
13,25
13,24
13,18
13,17
13,16
13,15
13,14
13,13
13,12
13,11
13,10
12,9
12,8
12,7
12,6
12,5
12,4
12,39
12,38
12,37
12,36
12,35
12,34
12,3
12,28
12,27
12,26
12,25
12,24
12,18
12,17
12,16
12,15
12,14
12,13
12,12
12,11
12,10
11,9
11,8
11,7
11,6
11,5
11,4
11,39
11,38
11,37
11,36
11,35
11,34
11,3
11,28
11,27
11,26
11,25
11,24
11,2
11,18
11,17
11,16
11,15
11,14
11,13
11,12
11,11
11,10
