id,city,stn_id,name,longitude,latitude
123,ny,ny3081,Graham Ave & Grand St,-73.944024,40.711863
124,ny,ny3082,Hope St & Union Ave,-73.95141312,40.71167351
125,ny,ny3083,Bushwick Ave & Powers St,-73.94100005,40.71247661
126,ny,ny3085,Roebling St & N 4 St,-73.95739,40.71469
127,ny,ny3086,Graham Ave & Conselyea St,-73.944507,40.715143
128,ny,ny3087,Metropolitan Ave & Meeker Ave,-73.95234386,40.71413311
129,ny,ny3088,Union Ave & Jackson St,-73.952029,40.7160751
130,ny,ny309,Murray St & West St,-74.013012,40.7149787
131,ny,ny3092,Berry St & N 8 St,-73.95852515,40.7190095
132,ny,ny3093,N 6 St & Bedford Ave,-73.95850939,40.71745169
133,ny,ny3094,Graham Ave & Withers St,-73.94485918,40.7169811
134,ny,ny3095,Graham Ave & Herbert St,-73.94500379,40.71929301
135,ny,ny3096,Union Ave & N 12 St,-73.95242,40.71924
136,ny,ny310,State St & Smith St,-73.98912867,40.68926942
137,ny,ny3100,Nassau Ave & Newell St,-73.947526216507,40.7248125644002
138,ny,ny3101,N 12 St & Bedford Ave,-73.95484712,40.72079821
139,ny,ny3102,Driggs Ave & Lorimer St,-73.9504154,40.72179134
140,ny,ny3105,N 15 St & Wythe Ave,-73.955736,40.724055
141,ny,ny3106,Driggs Ave & N Henry St,-73.94308,40.72325
142,ny,ny3107,Bedford Ave & Nassau Ave,-73.95212324,40.72311651
143,ny,ny3108,Nassau Ave & Russell St,-73.94434,40.72557
144,ny,ny3109,Banker St & Meserole Ave,-73.95621,40.72606
145,ny,ny311,Norfolk St & Broome St,-73.98802084,40.7172274
146,ny,ny3110,Meserole Ave & Manhattan Ave,-73.95299117,40.72708584
147,ny,ny3112,Milton St & Franklin St,-73.95779,40.72906
148,ny,ny3113,Greenpoint Ave & Manhattan Ave,-73.95394,40.73026
149,ny,ny3115,India St & Manhattan Ave,-73.9550858,40.73232194
150,ny,ny3116,Huron St & Franklin St,-73.95826,40.73266
151,ny,ny3117,Franklin St & Dupont St,-73.95866,40.73564
152,ny,ny3118,McGuinness Blvd & Eagle St,-73.95284,40.73555
153,ny,ny3119,Vernon Blvd & 50 Ave,-73.95411749,40.74232744
154,ny,ny312,Allen St & Stanton St,-73.989111,40.722055
155,ny,ny3121,Jackson Ave & 46 Rd,-73.94733276,40.74524768
156,ny,ny3122,48 Ave & 5 St,-73.9558732509613,40.7443632870669
157,ny,ny3123,31 St & Thomson Ave,-73.93540375,40.74469738
158,ny,ny3124,46 Ave & 5 St,-73.95451,40.74731
159,ny,ny3125,45 Rd & 11 St,-73.94977234,40.74708586
160,ny,ny3126,44 Dr & Jackson Ave,-73.9432635,40.74718234
161,ny,ny3127,9 St & 44 Rd,-73.9521,40.74966
162,ny,ny3128,21 St & 43 Ave,-73.94594845,40.75052534
163,ny,ny3129,Queens Plaza North & Crescent St,-73.94073717,40.75110165
164,ny,ny313,Washington Ave & Park Ave,-73.96751037,40.69610226
165,ny,ny3130,21 St & Queens Plaza North,-73.94335788,40.75325964
166,ny,ny3131,E 68 St & 3 Ave,-73.9622461795807,40.7671284034954
167,ny,ny3132,E 59 St & Madison Ave,-73.97109243,40.76350532
168,ny,ny3134,3 Ave & E 62 St,-73.96526895,40.76312584
169,ny,ny3135,E 75 St & 3 Ave,-73.95772297,40.77112927
170,ny,ny3136,5 Ave & E 63 St,-73.971518,40.766368
171,ny,ny3137,5 Ave & E 73 St,-73.96685276,40.77282817
172,ny,ny3139,E 72 St & Park Ave,-73.9640942215919,40.7711828754066
173,ny,ny3140,1 Ave & E 78 St,-73.9535166,40.77140426
174,ny,ny3141,1 Ave & E 68 St,-73.95818491,40.76500525
175,ny,ny3142,1 Ave & E 62 St,-73.96094022,40.7612274
176,ny,ny3143,5 Ave & E 78 St,-73.9642739295959,40.7763214218227
177,ny,ny3144,E 81 St & Park Ave,-73.9590097,40.77677702
178,ny,ny3145,E 84 St & Park Ave,-73.95772073,40.77862688
179,ny,ny3146,E 81 St & 3 Ave,-73.9567526,40.77573034
180,ny,ny3147,E 85 St & 3 Ave,-73.95407149,40.77801203
181,ny,ny3148,E 84 St & 1 Ave,-73.95068615,40.77565541
182,ny,ny315,South St & Gouverneur Ln,-74.00670227,40.70355377
183,ny,ny3150,E 85 St & York Ave,-73.94803392,40.77536905
184,ny,ny3151,E 81 St & York Ave,-73.94989233,40.7728384
185,ny,ny3152,3 Ave & E 71 St,-73.96119945,40.76873687
186,ny,ny3154,E 77 St & 3 Ave,-73.95856158,40.77314236
187,ny,ny3156,E 72 St & York Ave,-73.95348296,40.76663814
188,ny,ny3157,East End Ave & E 86 St,-73.94446054,40.77518615
189,ny,ny3158,W 63 St & Broadway,-73.98261428,40.77163851
190,ny,ny3159,W 67 St & Broadway,-73.98266566,40.77492513
191,ny,ny316,Fulton St & William St,-74.00653609,40.70955958
192,ny,ny3160,Central Park West & W 76 St,-73.97374737,40.77896784
193,ny,ny3161,W 76 St & Columbus Ave,-73.9772853255272,40.7801839724239
194,ny,ny3163,Central Park West & W 68 St,-73.97782542,40.7734066
195,ny,ny3164,Columbus Ave & W 72 St,-73.97898475,40.7770575
196,ny,ny3165,Central Park West & W 72 St,-73.9762057363987,40.7757937668367
197,ny,ny3166,Riverside Dr & W 72 St,-73.9856243133545,40.7805779901033
198,ny,ny3167,Amsterdam Ave & W 73 St,-73.9809304475784,40.7796680900731
199,ny,ny3168,Central Park West & W 85 St,-73.96961715,40.78472675
200,ny,ny3169,Riverside Dr & W 82 St,-73.98128127,40.78720869
201,ny,ny317,E 6 St & Avenue B,-73.98185424,40.72453734
202,ny,ny3170,W 84 St & Columbus Ave,-73.97283406,40.78499979
