areaCode,areaName,areaType,date,age,deaths,rollingSum,rollingRate
E92000001,England,nation,2023-06-16,55_59,1,5,0.1
E92000001,England,nation,2023-06-16,60+,34,199,1.5
E92000001,England,nation,2023-06-16,60_64,0,6,0.2
E92000001,England,nation,2023-06-16,65_69,5,20,0.7
E92000001,England,nation,2023-06-16,70_74,4,16,0.6
E92000001,England,nation,2023-06-16,75_79,5,33,1.6
E92000001,England,nation,2023-06-16,80_84,9,47,3.2
E92000001,England,nation,2023-06-16,85_89,6,29,3.3
E92000001,England,nation,2023-06-16,90+,5,48,9.2
E92000001,England,nation,2023-06-15,00_04,0,1,0.0
E92000001,England,nation,2023-06-15,00_59,1,9,0.0
E92000001,England,nation,2023-06-15,05_09,0,0,0.0
E92000001,England,nation,2023-06-15,10_14,0,0,0.0
E92000001,England,nation,2023-06-15,15_19,0,0,0.0
E92000001,England,nation,2023-06-15,20_24,0,0,0.0
E92000001,England,nation,2023-06-15,25_29,0,0,0.0
E92000001,England,nation,2023-06-15,30_34,0,0,0.0
E92000001,England,nation,2023-06-15,35_39,0,0,0.0
E92000001,England,nation,2023-06-15,40_44,0,0,0.0
E92000001,England,nation,2023-06-15,45_49,0,2,0.1
E92000001,England,nation,2023-06-15,50_54,1,2,0.1
E92000001,England,nation,2023-06-15,55_59,0,4,0.1
E92000001,England,nation,2023-06-15,60+,26,197,1.4
E92000001,England,nation,2023-06-15,60_64,0,7,0.2
E92000001,England,nation,2023-06-15,65_69,3,18,0.6
E92000001,England,nation,2023-06-15,70_74,1,20,0.7
E92000001,England,nation,2023-06-15,75_79,6,32,1.6
E92000001,England,nation,2023-06-15,80_84,8,46,3.2
E92000001,England,nation,2023-06-15,85_89,2,28,3.2
E92000001,England,nation,2023-06-15,90+,6,46,8.8
E92000001,England,nation,2023-06-14,00_04,0,1,0.0
E92000001,England,nation,2023-06-14,00_59,1,9,0.0
E92000001,England,nation,2023-06-14,05_09,0,0,0.0
E92000001,England,nation,2023-06-14,10_14,0,0,0.0
E92000001,England,nation,2023-06-14,15_19,0,0,0.0
E92000001,England,nation,2023-06-14,20_24,0,0,0.0
E92000001,England,nation,2023-06-14,25_29,0,0,0.0
E92000001,England,nation,2023-06-14,30_34,0,0,0.0
E92000001,England,nation,2023-06-14,35_39,0,0,0.0
E92000001,England,nation,2023-06-14,40_44,0,0,0.0
