areaCode,areaName,areaType,date,age,rate,value
E92000001,England,nation,2023-07-11,65_to_84,4662.4,422306
E92000001,England,nation,2023-07-11,85+,16070.9,226023
E92000001,England,nation,2023-07-10,18_to_64,1046.5,355732
E92000001,England,nation,2023-07-10,6_to_17,180.3,14721
E92000001,England,nation,2023-07-10,0_to_5,580.5,22806
E92000001,England,nation,2023-07-10,65_to_84,4661.6,422231
E92000001,England,nation,2023-07-10,85+,16068.5,225989
E92000001,England,nation,2023-07-09,18_to_64,1046.4,355691
E92000001,England,nation,2023-07-09,6_to_17,180.3,14718
E92000001,England,nation,2023-07-09,0_to_5,580.2,22795
E92000001,England,nation,2023-07-09,65_to_84,4660.8,422157
E92000001,England,nation,2023-07-09,85+,16066.2,225957
E92000001,England,nation,2023-07-08,18_to_64,1046.3,355666
E92000001,England,nation,2023-07-08,6_to_17,180.2,14716
E92000001,England,nation,2023-07-08,0_to_5,580.0,22787
E92000001,England,nation,2023-07-08,65_to_84,4660.2,422102
E92000001,England,nation,2023-07-08,85+,16063.5,225919
E92000001,England,nation,2023-07-07,18_to_64,1046.2,355640
E92000001,England,nation,2023-07-07,6_to_17,180.2,14715
E92000001,England,nation,2023-07-07,0_to_5,580.0,22785
E92000001,England,nation,2023-07-07,65_to_84,4659.6,422045
E92000001,England,nation,2023-07-07,85+,16061.7,225893
E92000001,England,nation,2023-07-06,18_to_64,1046.2,355622
E92000001,England,nation,2023-07-06,6_to_17,180.2,14714
E92000001,England,nation,2023-07-06,0_to_5,579.8,22780
E92000001,England,nation,2023-07-06,65_to_84,4659.1,422003
E92000001,England,nation,2023-07-06,85+,16059.3,225859
E92000001,England,nation,2023-07-05,18_to_64,1046.1,355587
E92000001,England,nation,2023-07-05,6_to_17,180.2,14712
E92000001,England,nation,2023-07-05,0_to_5,579.6,22772
E92000001,England,nation,2023-07-05,65_to_84,4658.5,421950
E92000001,England,nation,2023-07-05,85+,16057.7,225837
E92000001,England,nation,2023-07-04,18_to_64,1046.0,355552
E92000001,England,nation,2023-07-04,6_to_17,180.2,14712
E92000001,England,nation,2023-07-04,0_to_5,579.5,22768
E92000001,England,nation,2023-07-04,65_to_84,4657.9,421893
E92000001,England,nation,2023-07-04,85+,16056.5,225820
E92000001,England,nation,2023-07-03,18_to_64,1045.9,355521
E92000001,England,nation,2023-07-03,6_to_17,180.2,14711
E92000001,England,nation,2023-07-03,0_to_5,579.2,22754
E92000001,England,nation,2023-07-03,65_to_84,4657.2,421829
E92000001,England,nation,2023-07-03,85+,16054.2,225788
E92000001,England,nation,2023-07-02,18_to_64,1045.8,355490
E92000001,England,nation,2023-07-02,6_to_17,180.1,14705
E92000001,England,nation,2023-07-02,0_to_5,579.1,22749
E92000001,England,nation,2023-07-02,65_to_84,4656.6,421776
E92000001,England,nation,2023-07-02,85+,16052.8,225768
E92000001,England,nation,2023-07-01,18_to_64,1045.7,355465
E92000001,England,nation,2023-07-01,6_to_17,180.1,14704
E92000001,England,nation,2023-07-01,0_to_5,579.0,22747
E92000001,England,nation,2023-07-01,65_to_84,4656.1,421733
E92000001,England,nation,2023-07-01,85+,16050.9,225742
E92000001,England,nation,2023-06-30,18_to_64,1045.6,355446
E92000001,England,nation,2023-06-30,6_to_17,180.1,14703
E92000001,England,nation,2023-06-30,0_to_5,579.0,22745
E92000001,England,nation,2023-06-30,65_to_84,4655.7,421694
E92000001,England,nation,2023-06-30,85+,16050.3,225733
E92000001,England,nation,2023-06-29,18_to_64,1045.6,355427
E92000001,England,nation,2023-06-29,6_to_17,180.1,14703
E92000001,England,nation,2023-06-29,0_to_5,578.9,22741
E92000001,England,nation,2023-06-29,65_to_84,4655.1,421642
E92000001,England,nation,2023-06-29,85+,16049.0,225715
E92000001,England,nation,2023-06-28,18_to_64,1045.5,355398
E92000001,England,nation,2023-06-28,6_to_17,180.1,14703
E92000001,England,nation,2023-06-28,0_to_5,578.8,22738
E92000001,England,nation,2023-06-28,65_to_84,4654.6,421597
E92000001,England,nation,2023-06-28,85+,16047.0,225686
E92000001,England,nation,2023-06-27,18_to_64,1045.4,355361
E92000001,England,nation,2023-06-27,6_to_17,180.1,14702
E92000001,England,nation,2023-06-27,0_to_5,578.7,22735
E92000001,England,nation,2023-06-27,65_to_84,4654.0,421544
E92000001,England,nation,2023-06-27,85+,16045.0,225659
E92000001,England,nation,2023-06-26,18_to_64,1045.3,355340
E92000001,England,nation,2023-06-26,6_to_17,180.1,14701
E92000001,England,nation,2023-06-26,0_to_5,578.6,22731
E92000001,England,nation,2023-06-26,65_to_84,4653.5,421494
E92000001,England,nation,2023-06-26,85+,16043.5,225638
E92000001,England,nation,2023-06-25,18_to_64,1045.3,355321
E92000001,England,nation,2023-06-25,6_to_17,180.0,14698
E92000001,England,nation,2023-06-25,0_to_5,578.5,22728
E92000001,England,nation,2023-06-25,65_to_84,4652.9,421441
E92000001,England,nation,2023-06-25,85+,16041.5,225609
E92000001,England,nation,2023-06-24,18_to_64,1045.2,355294
E92000001,England,nation,2023-06-24,6_to_17,180.0,14698
E92000001,England,nation,2023-06-24,0_to_5,578.5,22727
E92000001,England,nation,2023-06-24,65_to_84,4652.4,421393
E92000001,England,nation,2023-06-24,85+,16039.6,225583
E92000001,England,nation,2023-06-23,18_to_64,1045.1,355274
E92000001,England,nation,2023-06-23,6_to_17,180.0,14698
E92000001,England,nation,2023-06-23,0_to_5,578.3,22720
E92000001,England,nation,2023-06-23,65_to_84,4651.9,421352
E92000001,England,nation,2023-06-23,85+,16037.7,225556
E92000001,England,nation,2023-06-22,18_to_64,1045.1,355258
E92000001,England,nation,2023-06-22,6_to_17,180.0,14697
E92000001,England,nation,2023-06-22,0_to_5,578.2,22717
E92000001,England,nation,2023-06-22,65_to_84,4651.5,421318
E92000001,England,nation,2023-06-22,85+,16035.9,225530
E92000001,England,nation,2023-06-21,18_to_64,1045.0,355234
E92000001,England,nation,2023-06-21,6_to_17,180.0,14696
E92000001,England,nation,2023-06-21,0_to_5,578.0,22706
E92000001,England,nation,2023-06-21,65_to_84,4650.9,421260
E92000001,England,nation,2023-06-21,85+,16033.7,225500
E92000001,England,nation,2023-06-20,18_to_64,1045.0,355214
E92000001,England,nation,2023-06-20,6_to_17,180.0,14694
E92000001,England,nation,2023-06-20,0_to_5,577.7,22697
E92000001,England,nation,2023-06-20,65_to_84,4650.3,421205
E92000001,England,nation,2023-06-20,85+,16031.0,225461
E92000001,England,nation,2023-06-19,18_to_64,1044.9,355187
E92000001,England,nation,2023-06-19,6_to_17,179.9,14692
E92000001,England,nation,2023-06-19,0_to_5,577.6,22692
E92000001,England,nation,2023-06-19,65_to_84,4649.5,421131
E92000001,England,nation,2023-06-19,85+,16026.8,225402
E92000001,England,nation,2023-06-18,18_to_64,1044.8,355162
E92000001,England,nation,2023-06-18,6_to_17,179.9,14690
E92000001,England,nation,2023-06-18,0_to_5,577.5,22688
E92000001,England,nation,2023-06-18,65_to_84,4648.6,421054
