areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2023-08-05,15_19,7,55,1.8
E92000001,England,nation,2023-08-05,20_24,12,157,4.5
E92000001,England,nation,2023-08-05,25_29,23,203,5.4
E92000001,England,nation,2023-08-05,30_34,26,244,6.4
E92000001,England,nation,2023-08-05,35_39,35,283,7.6
E92000001,England,nation,2023-08-05,40_44,40,315,9.1
E92000001,England,nation,2023-08-05,45_49,48,348,9.6
E92000001,England,nation,2023-08-05,50_54,56,450,11.6
E92000001,England,nation,2023-08-05,55_59,64,457,12.1
E92000001,England,nation,2023-08-05,60+,330,2670,19.5
E92000001,England,nation,2023-08-05,60_64,56,479,15.0
E92000001,England,nation,2023-08-05,65_69,57,435,15.6
E92000001,England,nation,2023-08-05,70_74,66,472,16.8
E92000001,England,nation,2023-08-05,75_79,55,462,23.0
E92000001,England,nation,2023-08-05,80_84,35,317,21.9
E92000001,England,nation,2023-08-05,85_89,38,284,32.1
E92000001,England,nation,2023-08-05,90+,23,221,42.4
E92000001,England,nation,2023-08-05,unassigned,1,2,
E92000001,England,nation,2023-08-04,00_04,18,112,3.5
E92000001,England,nation,2023-08-04,00_59,330,2660,6.2
E92000001,England,nation,2023-08-04,05_09,1,24,0.7
E92000001,England,nation,2023-08-04,10_14,2,37,1.1
E92000001,England,nation,2023-08-04,15_19,8,55,1.8
E92000001,England,nation,2023-08-04,20_24,12,159,4.6
E92000001,England,nation,2023-08-04,25_29,16,199,5.3
E92000001,England,nation,2023-08-04,30_34,33,242,6.3
E92000001,England,nation,2023-08-04,35_39,32,274,7.3
E92000001,England,nation,2023-08-04,40_44,47,314,9.0
E92000001,England,nation,2023-08-04,45_49,39,338,9.3
E92000001,England,nation,2023-08-04,50_54,58,449,11.6
E92000001,England,nation,2023-08-04,55_59,64,457,12.1
E92000001,England,nation,2023-08-04,60+,386,2663,19.5
E92000001,England,nation,2023-08-04,60_64,80,483,15.1
E92000001,England,nation,2023-08-04,65_69,44,425,15.3
E92000001,England,nation,2023-08-04,70_74,65,453,16.1
E92000001,England,nation,2023-08-04,75_79,70,472,23.5
E92000001,England,nation,2023-08-04,80_84,51,326,22.5
E92000001,England,nation,2023-08-04,85_89,46,282,31.9
E92000001,England,nation,2023-08-04,90+,30,222,42.6
E92000001,England,nation,2023-08-04,unassigned,1,1,
E92000001,England,nation,2023-08-03,00_04,19,112,3.5
E92000001,England,nation,2023-08-03,00_59,387,2658,6.2
E92000001,England,nation,2023-08-03,05_09,2,24,0.7
E92000001,England,nation,2023-08-03,10_14,7,37,1.1
E92000001,England,nation,2023-08-03,15_19,7,53,1.7
E92000001,England,nation,2023-08-03,20_24,34,168,4.8
E92000001,England,nation,2023-08-03,25_29,41,201,5.3
E92000001,England,nation,2023-08-03,30_34,46,247,6.5
E92000001,England,nation,2023-08-03,35_39,38,264,7.1
E92000001,England,nation,2023-08-03,40_44,39,303,8.7
E92000001,England,nation,2023-08-03,45_49,46,337,9.3
E92000001,England,nation,2023-08-03,50_54,52,459,11.8
E92000001,England,nation,2023-08-03,55_59,56,453,12.0
E92000001,England,nation,2023-08-03,60+,365,2573,18.8
E92000001,England,nation,2023-08-03,60_64,68,455,14.2
E92000001,England,nation,2023-08-03,65_69,62,429,15.4
E92000001,England,nation,2023-08-03,70_74,55,444,15.8
E92000001,England,nation,2023-08-03,75_79,58,455,22.6
E92000001,England,nation,2023-08-03,80_84,47,309,21.3
E92000001,England,nation,2023-08-03,85_89,38,269,30.4
E92000001,England,nation,2023-08-03,90+,37,212,40.7
E92000001,England,nation,2023-08-03,unassigned,0,0,
E92000001,England,nation,2023-08-02,00_04,14,110,3.4
E92000001,England,nation,2023-08-02,00_59,418,2584,6.0
