ucl_id,x,y
302002,523977.98195378657,175723.25004801532
303,527913.8024506218,179831.70848722145
304,527635.4461325742,180844.53913037584
305,530916.7640510123,178108.36068953242
306,529496.7959302568,181564.17618573143
307,525855.1281036964,180554.11862205068
308,532976.8479589837,179530.07953331806
309,530629.7174396007,180643.76141160174
310,530831.6173485563,178561.0684421297
311,529115.1102118734,181667.7416600277
312,526565.3032205587,182906.37835675542
313,529287.715611364,181467.71715621732
314,533145.5727060611,179736.24377671297
315,528197.3700691493,182332.8500163635
316,529074.6477075632,179274.62767079956
317,532411.060835998,179261.04301629763
318,529254.718489444,180655.01080409932
319,532695.9802868548,182632.98340827506
320,529224.2485924812,178821.08623050654
321,533262.0592125792,179401.7864983378
322,527726.2707688453,180858.0595270057
322,533710.0220551178,182578.0078296982
323,533086.9812609171,182217.01304340916
324,531893.2723005918,179217.42992711626
325,529892.2407049465,180564.32693786186
326,531886.3066228394,183239.0607645915
327,532888.4958711803,183074.67641971656
328,532888.4958711803,183074.67641971656
329,527655.3160518409,183490.47555809334
330,526441.383556921,181292.9447620415
331,532620.5868170076,181944.75710668473
332,525420.7141319602,178700.1616821282
333,525447.8342794196,180399.06270096492
334,530864.6945044688,180139.37860636966
335,530507.0904098875,180900.66490606015
336,530887.0553360034,180128.6040454933
337,525180.0514567445,180668.41545572196
338,530582.3578554527,180879.00757341075
339,531066.0101039978,183291.0447333812
340,532798.8692849369,181235.2256405697
341,530150.1993477545,180461.42975886032
343,528392.6181681026,183623.5660910812
344,531826.5748115715,182746.10470389668
345,527370.8034121793,178156.76216761547
347,531011.6483851713,179597.35016140208
348,528441.3866995096,180870.51783317694
349,528976.1292209206,180860.69220659672
350,526432.1572402029,179656.7799284052
351,532093.9649527661,182884.02649828146
352,530862.7069967821,178127.55589269573
353,529618.56629436,178944.28811629605
354,530314.9330953613,180316.98511432047
355,530817.9316037564,178083.00637749943
356,526866.9692092867,178854.9832587333
357,529211.9676908096,181871.94671865855
358,530209.9800714147,181366.85945251677
359,529525.6079674454,179302.34094163036
360,529300.0866528382,179176.75783374143
361,531036.2081290127,180018.72138497425
362,529519.9731368306,183578.97653184907
363,526957.661961366,182719.4384560957
364,529678.9796414039,181734.95773788862
365,531880.0304593067,182980.95440207882
366,528400.1458078385,180730.27099324914
367,527474.3830624989,181425.01936705317
368,527859.9654445186,179528.57891156134
369,531427.985896699,180834.03872388514
370,526746.0087370237,181722.03731759387
371,531300.0197257013,179338.94779123773
372,530695.9967391241,181266.0566032573
373,526676.0553047096,179450.5418203271
374,531005.5012644922,180029.94790068234
375,525422.4531992786,179657.4761537027
376,530220.3944941134,178658.43888516136
377,531016.0667541139,180177.77353144728
378,526502.9505209046,178977.3286537939
379,524941.3396006284,181021.6158888823
380,528443.3901239617,180280.14443071588
381,529440.819692977,181714.8640652821
382,528659.6345868587,180562.46510333772
383,529775.6375862367,181008.23302680533
384,525575.5053899026,179053.15245659894
386,529850.9634048414,181057.44945733168
387,530512.393778209,178868.00142423558
388,530440.9684537797,180758.09115567093
389,528080.939038528,180634.53270223597
390,534076.9763424646,182085.0275347717
391,529010.1157970992,180717.11941048678
392,526449.0285504756,179402.82985402626
393,531679.2051207225,181528.01599416428
394,526616.9963664277,182233.01525724167
395,527841.5965520741,178662.4056040034
396,527513.9382591957,181505.90663125442
397,526405.4495137252,180965.24176260363
398,524980.7868029713,179688.10462995153
399,533880.4035489245,182173.54126163805
400,528174.3347804084,181479.45863850898
401,533605.9820639188,182786.03438272636
402,526940.4969588806,182025.88498840644
403,527889.0918214975,181382.1392752314
404,526115.7431092388,179685.3077334721
405,526257.4316685004,178814.66683228774
406,527726.2707688453,180858.0595270057
408,527016.540916335,181699.63924975728
409,532011.0162045131,178845.034211073
410,527080.9915533082,181704.0326499287
411,532020.565143823,178870.54213183885
412,531310.9821243631,178265.96371157846
419,528617.9682178437,177943.00587979838
420,531598.9684934703,180046.94532903185
421,531636.0252804882,180048.0160238631
423,528251.1780670893,178906.2820782304
424,528592.203212651,178462.0062674479
425,529167.0204391098,183248.95496259502
426,529921.9896610257,178783.0028967691
427,532428.8177802693,181173.26767342462
428,526804.9864259202,179465.99556760537
430,526787.579812078,178253.01987240405
431,530339.8911057606,183400.77016307402
432,526859.0067154494,179137.97458905616
433,530779.116817606,182309.30404959328
435,531623.1861124557,178357.1570598079
436,530778.4190215564,181605.56920414703
437,530562.3935138718,178248.808074329
439,530586.3606277882,183332.10131928365
440,531116.0220241508,177709.0019984265
441,530978.0564070282,179097.63056244026
442,524222.849824789,180535.4407725493
443,534804.8549481255,181378.73846124916
444,535005.0227707741,182544.0470580656
445,534333.0184794817,182325.9256577331
446,534955.0305203011,182905.0502324613
447,538416.45022494,179041.49823791854
448,537307.607183014,180441.31043413142
449,534919.985125571,180917.9753837693
450,535181.8345110565,181468.76459082984
451,534496.578344183,180198.00788228505
452,534007.1565920328,180293.91384028643
453,535066.0125427509,180627.96124324406
454,537458.9935076325,178380.99211245088
455,537936.4892823058,179149.64403989643
456,528771.9845107857,183761.02825340937
457,528709.9636627907,184212.01398651156
458,534911.9797708447,180212.3541681709
459,536497.9785165169,183641.02240532456
460,536849.032024005,181537.9864729253
461,536180.9915330646,181498.2267906351
462,529164.977400237,184164.0372359634
463,533829.0268045694,183525.13200726476
464,535261.9706649308,181270.03453548974
465,533090.9159800163,183595.2014968652
466,533520.6242216146,183482.29400567192
467,536728.6751417083,182351.7843012903
468,537279.992225066,182146.98042048485
469,537457.9707515703,181283.00351391913
470,537058.9655808969,183139.3340502631
471,536866.0260241367,183439.93671056168
472,536914.8935483593,183014.9281805255
473,537588.1522821812,179325.7157167158
474,538130.3569464318,179561.64819200244
475,537523.7494746693,179647.1393527693
476,538313.9713206606,178561.85933352582
477,537647.6971392923,178765.68168383808
478,535615.7442785681,182138.44672757824
479,534813.8733577097,182702.77591567906
480,536175.6069929437,181149.8807816106
481,538334.0824792859,178343.51144511846
482,537240.5471505965,180841.56476426555
483,535564.0038257329,181179.04258337233
484,537912.6588856507,182972.48367053206
485,535494.8928825068,183163.24248933635
486,534017.9660165524,182514.01378233422
487,537105.854005635,181056.93406951672
488,534826.5931308008,180454.57223700004
489,534432.930156401,181126.07132936397
490,534382.7400975589,180629.323895115
491,535981.0236116514,182216.98347592267
492,536373.985898309,182469.00052064424
494,537786.0552351312,179979.07745974162
495,537536.969407586,182888.95975637704
496,537762.923633024,182555.77907552547
497,536854.0648879425,182688.67600887333
498,537082.995784771,182753.05063478148
499,537380.4892116244,181893.85664150887
500,534993.3148608059,181890.07038495777
501,535044.001480602,182197.9970367342
502,537336.311835868,180042.02354871033
503,535290.9782359721,182018.95109571028
504,538270.8256536031,179379.51125494356
505,537000.8642862601,182009.68914248043
506,533604.0122832516,181593.9528951745
507,534734.0005195021,182872.0293145973
508,533697.2867943319,181806.39140923333
509,532616.3705829416,181608.91878792265
510,537087.7034797923,180777.3469085804
511,535169.9198399702,180922.16859911056
512,534562.4406833816,183245.72491027223
513,535015.0142572514,181269.36489247793
514,528080.0863376223,181310.2814983647
515,524252.9754155725,179422.02091099625
516,537884.0051962135,181009.99351008004
517,536526.408067721,183345.10661002283
518,536235.0056187136,182859.9899012929
519,538053.6304555181,181861.58064915397
520,535565.405685508,182599.14490398468
521,536224.6494687235,183517.72564944823
522,536342.673800112,182608.8210466209
523,537937.8759602443,181488.86284954083
524,526417.5776141527,180762.3588600086
525,537913.6363246114,180289.01187770884
526,538325.4108283359,180125.37367861572
527,523931.13150342397,179827.42561607633
528,528777.9662741821,180340.01846341288
529,527089.027981629,178023.75336650654
530,538031.4752103635,180757.59897394903
531,535863.0026114392,183083.9401407187
532,537516.3026597339,180150.93911532557
533,533996.5324545625,182800.21766659763
534,534243.0249571457,183212.01059694297
535,528601.3395846196,183676.36251539504
536,533967.7448416897,183425.74416469282
537,534152.022462358,181659.02468285797
538,538407.5298885278,180777.28536072338
539,533561.004430164,183108.0084220526
540,528813.2672637923,182675.0236811904
541,528986.9849074904,180265.97879732418
542,536529.8529603835,181297.82124982547
543,524688.6110717778,180490.09635305934
544,531750.6243408003,182511.22876162484
545,528726.3062260264,183969.73596812127
546,531374.8426522557,181530.59768684517
547,538733.2151682664,180841.02853408287
548,531434.7204770255,179413.20018156158
549,531699.6489194988,179160.1110348585
550,536130.4848777856,182116.04731517326
551,537760.0616242054,180402.58531364554
552,534952.783861997,180969.36774092872
553,534473.7811006792,183642.54105154314
554,538486.0499216659,181287.65958036663
555,523644.9813415371,180446.02110993362
556,537412.9917446134,180046.9890718076
557,532037.1458076774,181389.972244145
558,530084.0003227999,178887.96025988937
559,524619.016582626,179575.96504609776
560,524595.98145512,180714.03970739606
561,535855.0707978236,181753.12892191752
562,530308.8684689759,181506.70974586438
563,538286.8313252495,179695.1022027693
564,530727.9858613423,180681.00634333928
565,534456.0659288095,182109.4017752536
566,523340.99458892236,180409.0380489286
568,525898.4836350756,181250.86851138424
569,533066.292767833,183210.641629908
570,537683.7743759125,180101.2774135457
571,523748.97244460735,180096.04647651437
572,528972.6885655955,183880.51383857994
573,526383.9936661639,177860.9779986716
574,532357.47834646,183351.24744895828
576,537346.0105035056,179449.0363715769
577,535534.1228039453,182913.01493693911
578,534873.0156751125,182754.9789505438
579,532429.0122335458,180870.03877858695
580,531809.0194278556,178147.98291677196
581,528595.0268154974,181652.99454678618
583,530183.0250748332,179295.9842094367
584,525631.87353354285,180830.33717465325
586,537936.0174500274,178723.97253846558
587,532994.4182372505,180706.08903962834
588,533274.1471053604,182933.4416890407
589,526505.9740245908,178043.04734187678
590,527126.0045124618,183106.3204361861
591,523340.86752365157,180067.99172476842
592,526117.9130377882,181360.9059698268
593,530548.1934103613,183026.88812238217
594,530705.9844525598,181117.9812964711
595,523679.10115234955,178649.05555749772
596,525128.0162842515,176408.99827076768
597,524568.0791271939,176468.0343768549
598,523096.98175581853,178772.01782548195
599,523437.97670867585,177806.00297279574
600,530320.9805169922,177533.01040025597
601,523209.01513933565,181029.95196271111
602,529697.9684809245,176542.98705011857
603,530897.979132405,177112.95461769257
604,529194.9826292463,183852.003481453
605,527503.6605918983,181755.01410304906
606,524267.8292106485,179879.81863458193
607,524409.9648021588,175945.98089864
608,523918.02551502717,178412.96925894346
609,528066.0163347335,175626.04887014313
610,527025.0109682317,177541.01008164737
611,524431.9709778551,180135.97369957413
612,529163.9638948063,176114.0184661324
613,523820.0052156068,179850.97789127135
614,528938.9665394381,177099.99206522456
615,523997.9707674195,176833.9892405832
616,524398.0335461313,177303.96764143958
617,524572.9919146906,176201.9954831882
618,525571.9976891533,176803.040325784
619,525318.0037195977,176519.04638241557
620,527386.9805228309,176727.97382496053
621,526019.0198901126,175100.9505209807
622,524633.9924517358,180253.97424591816
623,526476.9823736171,175231.03252286912
624,529827.9787408315,176537.95623811893
625,528602.9737164644,177029.95472172473
626,524747.0067427155,177687.0491871789
627,528024.9898633884,176033.05688320776
628,526212.9864513756,175991.03337702499
629,525830.0014598289,174995.01903059863
630,530189.0018982402,176304.04145521286
631,529137.9771084267,177253.03415928566
632,527685.9695441711,176219.04717334727
633,524415.9701267517,178257.99594493036
634,523956.96774254343,178775.99214295787
635,524075.02459323104,177856.99485655525
636,525580.0038511744,175779.98596125888
637,526911.9724979032,174789.97937090514
638,527226.0101370286,175773.00925672986
639,524941.9752119906,177601.03622989444
640,528720.0167772924,176504.0273102658
641,530769.9878422737,179380.03705187794
642,526894.9826372643,176046.04397453117
643,524656.0265470187,181541.0355381159
644,523427.0166499987,177581.97347386123
645,531954.0272033003,179798.98594173847
646,529384.9673138941,179414.0417219097
647,523822.00323913444,179440.9946575063
648,525381.9869685993,175994.97691023734
649,526457.9742766134,177441.98401874304
650,524030.0248229802,181284.03636549594
651,526211.9697037678,177334.95189067384
652,523745.0121624302,180678.0066047588
653,527152.9758179681,176239.9766172759
654,530802.9691861855,177648.97747204138
655,523742.0057766079,177502.0550514321
656,525184.9769337232,175921.02888270986
657,523526.96602223633,179359.04509736696
658,527546.0247510857,176966.9664845497
659,526899.0253429479,175513.03831008723
660,524644.9796610528,178406.02929607342
661,524812.9711295663,181242.0064894677
662,527306.9889673042,177817.00523041468
663,524197.97057811654,180882.9999586325
664,528202.9833566563,176659.0005944005
665,525719.987807326,175118.03822671075
666,524483.0159546828,178984.00984266738
667,523487.0235404918,179571.04611528886
668,522501.9924604139,178727.05287561944
669,530432.9645472977,176912.9573456142
670,528444.9680705757,175865.04245159024
671,524970.0675621929,176657.92520318157
672,526964.9677319033,175549.95575402846
673,526496.0246182468,175592.02701461577
674,530754.001006085,183522.02568365214
675,526380.0157670284,175401.9864491314
676,530177.030380165,177098.0205180989
677,528836.974133956,176039.9683939711
678,524344.9695100274,175221.02530354023
679,527176.967007676,176650.95028894726
680,527160.0193432658,177001.0364875006
681,524087.98446264816,176408.01563284046
682,523224.013560375,178063.96889153938
683,527651.9950350419,175608.9743801654
684,525496.0109066883,174408.05608534813
685,525234.0230846767,175059.9966114465
686,523512.0317146509,178074.95941102644
687,524249.9969070776,179145.99647206796
688,525098.9731818779,175088.05527179758
689,526477.9964292209,174929.95576009614
690,528444.0040482515,176230.99801721593
691,525388.0131963524,177155.0173781509
692,536784.9691199195,184421.05099698185
693,524049.99138442776,175489.00063821173
694,523998.00953038596,175034.97739885421
695,531682.9698877967,183647.96202041232
696,523823.9936441944,177986.96219762583
697,530992.0032265625,183630.98024074477
698,533924.0264327985,184007.03282169177
699,533938.019947041,183736.99038105464
700,526883.00262599,176914.00544152444
701,526760.9994320334,176455.97156656312
702,534286.0191208916,182859.05226708885
703,531565.03122622,181272.01276751846
704,524962.0042309705,174625.03320941457
705,524304.9946866129,174930.96960358764
706,533108.9917593518,179876.05372865795
707,524018.0035120243,178318.04427766654
708,524021.98550955375,175135.0365249309
709,524058.9823003366,175313.96959605056
710,527653.9704852409,176646.98049233662
711,523951.96646002645,177553.00905345322
712,536441.9784560766,181787.99689077446
713,528860.9941979164,184089.9921810343
714,529471.0102036695,176551.00642806938
715,535468.0152537592,181437.9941621633
716,537237.9985735031,181463.01198107674
717,533545.9767796835,183718.98570945056
718,534629.9846640732,183651.02020041004
719,535053.0153848612,183741.04144110356
720,524707.0025770466,178003.96956568403
721,536988.9771329307,183749.94894767826
722,534778.0281957285,182416.05497373425
723,525796.0337210847,175913.9494992905
724,526209.0097918486,174785.97253791464
